peak_t+1,postinflex_t+1,preinflex_t+1
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
100.0,145.0,55.0
