Date,Country/Region,Confirmed,Deaths,C1,C2,C3,C4,C5,C6,C7,C8
01/23/2020,Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Kenya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01/23/2020,Kosovo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Kyrgyzstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01/23/2020,Laos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Lebanon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Libya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Liechtenstein,0.0,0.0,,,,,,,,
01/23/2020,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,MS Zaandam,0.0,0.0,,,,,,,,
01/23/2020,Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Malawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Malaysia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Maldives,0.0,0.0,,,,,,,,
01/23/2020,Mali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Malta,0.0,0.0,,,,,,,,
01/23/2020,Mauritania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Moldova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Monaco,0.0,0.0,,,,,,,,
01/23/2020,Mongolia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Montenegro,0.0,0.0,,,,,,,,
01/23/2020,Morocco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Mozambique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Nepal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Nicaragua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Niger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Nigeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,North Macedonia,0.0,0.0,,,,,,,,
01/23/2020,Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Oman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Panama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01/23/2020,Papua New Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/23/2020,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
